source_event_id,run_id,household_id,request_start_date,request_end_date,request_meal_types,skip_existing,plan_date,meal_type,weekday_index,is_weekend,suggestion_action,suggested_recipe_id,suggested_recipe_name,suggested_categoria_alimentar,suggested_proteina_principal,suggested_adequado_refeicao,score,average_rating,ratings_count,reasons,lifecycle_count,latest_lifecycle_event_kind,latest_execution_status,final_recipe_id,final_recipe_name,outcome_label,accepted_as_suggested,changed_recipe,deleted_after_apply
47,d9729353-88bb-423d-b190-ef061374c310,1,2026-04-26,2026-05-02,"[""almoco"", ""jantar""]",1,2026-04-27,jantar,0,0,suggest,27,Carne de porco com cogumelos na actifry,carne,porco,ambos,70.0,,0,"[""sem avaliações, tratada como opção neutra"", ""ajuda à rotação entre tipos de carne""]",1,post_apply_update,recipe_replaced,15,Almondegas,accepted_with_recipe_change,0,1,0
48,d9729353-88bb-423d-b190-ef061374c310,1,2026-04-26,2026-05-02,"[""almoco"", ""jantar""]",1,2026-04-28,almoco,1,0,suggest,31,Massinha de Peixe,peixe,peixe,ambos,54.0,,0,"[""sem avaliações, tratada como opção neutra""]",0,,,31,Massinha de Peixe,accepted_as_suggested,1,0,0
49,d9729353-88bb-423d-b190-ef061374c310,1,2026-04-26,2026-05-02,"[""almoco"", ""jantar""]",1,2026-04-28,jantar,1,0,suggest,20,Carne de vaca guisada,carne,vaca,ambos,62.0,,0,"[""sem avaliações, tratada como opção neutra"", ""ajuda à rotação entre tipos de carne""]",0,,,20,Carne de vaca guisada,accepted_as_suggested,1,0,0
50,d9729353-88bb-423d-b190-ef061374c310,1,2026-04-26,2026-05-02,"[""almoco"", ""jantar""]",1,2026-04-29,almoco,2,0,suggest,42,Peixe assado no forno,peixe,peixe,ambos,54.0,,0,"[""sem avaliações, tratada como opção neutra""]",0,,,42,Peixe assado no forno,accepted_as_suggested,1,0,0
51,d9729353-88bb-423d-b190-ef061374c310,1,2026-04-26,2026-05-02,"[""almoco"", ""jantar""]",1,2026-04-29,jantar,2,0,suggest,41,Frango com cebolinhas,carne,frango,ambos,62.0,,0,"[""sem avaliações, tratada como opção neutra"", ""ajuda à rotação entre tipos de carne""]",1,post_apply_update,recipe_replaced,4,Mac and Cheese,accepted_with_recipe_change,0,1,0
52,d9729353-88bb-423d-b190-ef061374c310,1,2026-04-26,2026-05-02,"[""almoco"", ""jantar""]",1,2026-04-30,almoco,3,0,suggest,11,Peixe cozido,peixe,peixe,ambos,54.0,,0,"[""sem avaliações, tratada como opção neutra""]",0,,,11,Peixe cozido,accepted_as_suggested,1,0,0
53,d9729353-88bb-423d-b190-ef061374c310,1,2026-04-26,2026-05-02,"[""almoco"", ""jantar""]",1,2026-04-30,jantar,3,0,suggest,21,Carne de porco à portuguesa,carne,porco,ambos,54.0,,0,"[""sem avaliações, tratada como opção neutra""]",1,post_apply_update,recipe_replaced,14,Frango rápido,accepted_with_recipe_change,0,1,0
54,d9729353-88bb-423d-b190-ef061374c310,1,2026-04-26,2026-05-02,"[""almoco"", ""jantar""]",1,2026-05-01,almoco,4,0,suggest,3,Perca do nilo no forno,peixe,peixe,ambos,54.0,,0,"[""sem avaliações, tratada como opção neutra""]",0,,,3,Perca do nilo no forno,accepted_as_suggested,1,0,0
55,d9729353-88bb-423d-b190-ef061374c310,1,2026-04-26,2026-05-02,"[""almoco"", ""jantar""]",1,2026-05-01,jantar,4,0,suggest,35,Carne guisada com massa,carne,vaca,ambos,54.0,,0,"[""sem avaliações, tratada como opção neutra""]",0,,,35,Carne guisada com massa,accepted_as_suggested,1,0,0
56,d9729353-88bb-423d-b190-ef061374c310,1,2026-04-26,2026-05-02,"[""almoco"", ""jantar""]",1,2026-05-02,almoco,5,1,suggest,9,Salmão no forno com ervinhas da provença,peixe,peixe,ambos,54.0,,0,"[""sem avaliações, tratada como opção neutra""]",0,,,9,Salmão no forno com ervinhas da provença,accepted_as_suggested,1,0,0
57,d9729353-88bb-423d-b190-ef061374c310,1,2026-04-26,2026-05-02,"[""almoco"", ""jantar""]",1,2026-05-02,jantar,5,1,suggest,38,Ervilhas com ovos,carne,ovos,ambos,54.0,,0,"[""sem avaliações, tratada como opção neutra""]",0,,,38,Ervilhas com ovos,accepted_as_suggested,1,0,0
