source_event_id,run_id,household_id,request_start_date,request_end_date,request_meal_types,skip_existing,plan_date,meal_type,weekday_index,is_weekend,suggestion_action,suggested_recipe_id,suggested_recipe_name,suggested_categoria_alimentar,suggested_proteina_principal,suggested_adequado_refeicao,suggested_recipe_ingredient_count,suggested_recipe_distinct_ingredient_count,suggested_recipe_profile_flag_count,suggested_recipe_has_arroz_ingredient,suggested_recipe_has_massa_ingredient,suggested_recipe_has_batata_ingredient,suggested_recipe_has_ovos_ingredient,suggested_recipe_has_peixe_marisco_ingredient,suggested_recipe_has_frango_aves_ingredient,suggested_recipe_has_vaca_ingredient,suggested_recipe_has_porco_ingredient,suggested_recipe_has_queijo_lacticinios_ingredient,suggested_recipe_has_leguminosas_ingredient,suggested_recipe_has_tomate_ingredient,suggested_recipe_has_cebola_alho_ingredient,score,average_rating,ratings_count,reasons,lifecycle_count,latest_lifecycle_event_kind,latest_execution_status,final_recipe_id,final_recipe_name,outcome_label,accepted_as_suggested,changed_recipe,deleted_after_apply
25,b97b66fc-bc6f-4ab3-a71e-91f2e7810ec2,1,2026-04-26,2026-05-02,"[""jantar""]",1,2026-04-29,jantar,2,0,suggest,25,Arroz de bacalhau,peixe,peixe,ambos,13,13,4,1,0,0,0,1,0,0,0,0,0,1,1,48.0,,0,"[""sem avaliações, tratada como opção neutra""]",0,,,25,Arroz de bacalhau,accepted_as_suggested,1,0,0
26,b97b66fc-bc6f-4ab3-a71e-91f2e7810ec2,1,2026-04-26,2026-05-02,"[""jantar""]",1,2026-04-30,jantar,3,0,suggest,23,Bolonhesa,carne,,ambos,11,11,5,0,1,0,0,0,0,1,0,1,0,1,1,69.0,5.0,1,"[""receita favorita da família"", ""proteína principal ainda por definir"", ""categoria já está acima do equilíbrio desta semana""]",0,,,23,Bolonhesa,accepted_as_suggested,1,0,0
27,b97b66fc-bc6f-4ab3-a71e-91f2e7810ec2,1,2026-04-26,2026-05-02,"[""jantar""]",1,2026-05-01,jantar,4,0,suggest,16,Douradinhos,peixe,peixe,ambos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,,0,"[""sem avaliações, tratada como opção neutra"", ""categoria já está acima do equilíbrio desta semana""]",0,,,16,Douradinhos,accepted_as_suggested,1,0,0
28,b97b66fc-bc6f-4ab3-a71e-91f2e7810ec2,1,2026-04-26,2026-05-02,"[""jantar""]",1,2026-05-02,jantar,5,1,suggest,10,Empadão de carne,carne,,ambos,14,14,6,0,0,1,1,0,0,1,0,1,0,1,1,69.0,5.0,1,"[""receita favorita da família"", ""proteína principal ainda por definir"", ""categoria já está acima do equilíbrio desta semana""]",0,,,10,Empadão de carne,accepted_as_suggested,1,0,0
36,5a926b03-3f0b-4dae-987e-838a76d3e097,1,2026-05-03,2026-05-09,"[""jantar""]",1,2026-05-03,jantar,6,1,suggest,9,Salmão no forno com ervinhas da provença,peixe,peixe,ambos,5,5,1,0,0,0,0,1,0,0,0,0,0,0,0,71.99,,0,"[""sem avaliações, tratada como opção neutra"", ""ajuda ao equilíbrio semanal entre carne, peixe e vegetariano"", ""modelo prevê elevada aceitação (1.00)""]",0,,,9,Salmão no forno com ervinhas da provença,accepted_as_suggested,1,0,0
37,5a926b03-3f0b-4dae-987e-838a76d3e097,1,2026-05-03,2026-05-09,"[""jantar""]",1,2026-05-04,jantar,0,0,suggest,5,Escalopes ao vinho Madeira,carne,,ambos,7,7,1,0,0,0,0,0,0,1,0,0,0,0,0,98.3,5.0,1,"[""receita favorita da família"", ""proteína principal ainda por definir"", ""ajuda ao equilíbrio semanal entre carne, peixe e vegetariano"", ""modelo prevê aceitação intermédia (0.66)""]",0,,,5,Escalopes ao vinho Madeira,accepted_as_suggested,1,0,0
38,5a926b03-3f0b-4dae-987e-838a76d3e097,1,2026-05-03,2026-05-09,"[""jantar""]",1,2026-05-05,jantar,1,0,suggest,17,Bacalhau com grão,peixe,peixe,ambos,11,11,4,0,0,0,1,1,0,0,0,0,1,0,1,59.47,5.0,1,"[""receita favorita da família"", ""usada nas últimas 3 semanas"", ""modelo prevê elevada aceitação (0.72)""]",0,,,17,Bacalhau com grão,accepted_as_suggested,1,0,0
39,5a926b03-3f0b-4dae-987e-838a76d3e097,1,2026-05-03,2026-05-09,"[""jantar""]",1,2026-05-06,jantar,2,0,suggest,4,Mac and Cheese,carne,queijo_lacticinios,ambos,11,11,2,0,1,0,0,0,0,0,0,1,0,0,0,79.23,4.0,1,"[""boa aceitação familiar"", ""modelo prevê elevada aceitação (0.76)""]",0,,,4,Mac and Cheese,accepted_as_suggested,1,0,0
40,5a926b03-3f0b-4dae-987e-838a76d3e097,1,2026-05-03,2026-05-09,"[""jantar""]",1,2026-05-07,jantar,3,0,suggest,26,Bacalhau com legumes (revista robot de cozinha),peixe,peixe,ambos,12,12,4,0,0,1,0,1,0,0,0,1,0,0,1,52.52,5.0,1,"[""receita favorita da família"", ""usada nas últimas 3 semanas"", ""categoria já está acima do equilíbrio desta semana"", ""modelo prevê elevada aceitação (0.98)""]",0,,,26,Bacalhau com legumes (revista robot de cozinha),accepted_as_suggested,1,0,0
41,5a926b03-3f0b-4dae-987e-838a76d3e097,1,2026-05-03,2026-05-09,"[""jantar""]",1,2026-05-08,jantar,4,0,suggest,34,Rancho,carne,porco,ambos,12,12,5,0,1,0,0,0,0,0,1,0,1,1,1,74.33,4.0,1,"[""boa aceitação familiar"", ""categoria já está acima do equilíbrio desta semana"", ""ajuda à rotação semanal entre tipos de carne"", ""modelo prevê aceitação intermédia (0.62)""]",0,,,34,Rancho,accepted_as_suggested,1,0,0
42,5a926b03-3f0b-4dae-987e-838a76d3e097,1,2026-05-03,2026-05-09,"[""jantar""]",1,2026-05-09,jantar,5,1,suggest,31,Massinha de Peixe,peixe,peixe,ambos,8,8,4,0,1,0,0,1,0,0,0,0,0,1,1,45.87,,0,"[""sem avaliações, tratada como opção neutra"", ""categoria já está acima do equilíbrio desta semana"", ""modelo prevê elevada aceitação (0.99)""]",0,,,31,Massinha de Peixe,accepted_as_suggested,1,0,0
50,9d5d5c3e-9534-4ef2-b79d-e482682191a5,1,2026-05-10,2026-05-16,"[""jantar""]",1,2026-05-10,jantar,6,1,suggest,38,Ervilhas com ovos,carne,ovos,ambos,10,10,5,1,0,0,0,0,0,0,1,0,1,1,1,97.5,4.0,1,"[""boa aceitação familiar"", ""ajuda ao equilíbrio semanal entre carne, peixe e vegetariano"", ""modelo prevê elevada aceitação (0.97)""]",0,,,38,Ervilhas com ovos,accepted_as_suggested,1,0,0
51,9d5d5c3e-9534-4ef2-b79d-e482682191a5,1,2026-05-10,2026-05-16,"[""jantar""]",1,2026-05-11,jantar,0,0,suggest,24,Filetes no forno com limão,peixe,,ambos,6,6,2,0,0,0,0,1,0,0,0,0,0,0,1,65.6,,0,"[""sem avaliações, tratada como opção neutra"", ""proteína principal ainda por definir"", ""ajuda ao equilíbrio semanal entre carne, peixe e vegetariano"", ""modelo prevê elevada aceitação (0.88)""]",0,,,24,Filetes no forno com limão,accepted_as_suggested,1,0,0
52,9d5d5c3e-9534-4ef2-b79d-e482682191a5,1,2026-05-10,2026-05-16,"[""jantar""]",1,2026-05-12,jantar,1,0,suggest,13,Chili,carne,,ambos,12,12,5,1,0,0,0,0,0,1,0,0,1,1,1,77.19,5.0,1,"[""receita favorita da família"", ""proteína principal ainda por definir"", ""modelo prevê maior risco de troca (0.31)""]",0,,,13,Chili,accepted_as_suggested,1,0,0
53,9d5d5c3e-9534-4ef2-b79d-e482682191a5,1,2026-05-10,2026-05-16,"[""jantar""]",1,2026-05-13,jantar,2,0,suggest,42,Peixe assado no forno,peixe,peixe,ambos,11,11,5,0,0,1,0,1,0,0,0,0,1,1,1,55.54,,0,"[""sem avaliações, tratada como opção neutra"", ""modelo prevê elevada aceitação (0.88)""]",0,,,42,Peixe assado no forno,accepted_as_suggested,1,0,0
54,9d5d5c3e-9534-4ef2-b79d-e482682191a5,1,2026-05-10,2026-05-16,"[""jantar""]",1,2026-05-14,jantar,3,0,suggest,28,Bifanas com natas,carne,porco,ambos,6,6,2,0,0,0,0,0,0,0,0,1,1,0,0,81.44,4.0,1,"[""boa aceitação familiar"", ""categoria já está acima do equilíbrio desta semana"", ""ajuda à rotação semanal entre tipos de carne"", ""modelo prevê elevada aceitação (0.97)""]",0,,,28,Bifanas com natas,accepted_as_suggested,1,0,0
55,9d5d5c3e-9534-4ef2-b79d-e482682191a5,1,2026-05-10,2026-05-16,"[""jantar""]",1,2026-05-15,jantar,4,0,suggest,43,Gratinado de legumes e salmão,peixe,peixe,ambos,14,14,6,0,0,1,1,1,0,0,0,1,1,0,1,71.25,4.0,1,"[""boa aceitação familiar"", ""categoria já está acima do equilíbrio desta semana"", ""modelo prevê elevada aceitação (0.96)""]",0,,,43,Gratinado de legumes e salmão,accepted_as_suggested,1,0,0
56,9d5d5c3e-9534-4ef2-b79d-e482682191a5,1,2026-05-10,2026-05-16,"[""jantar""]",1,2026-05-16,jantar,5,1,suggest,2,Peito de frango à la pizza,carne,frango,ambos,8,8,4,0,0,0,0,0,1,0,0,1,1,0,1,81.82,4.0,1,"[""boa aceitação familiar"", ""categoria já está acima do equilíbrio desta semana"", ""ajuda à rotação semanal entre tipos de carne"", ""modelo prevê elevada aceitação (0.99)""]",0,,,2,Peito de frango à la pizza,accepted_as_suggested,1,0,0
