source_event_id,run_id,household_id,request_start_date,request_end_date,request_meal_types,skip_existing,plan_date,meal_type,weekday_index,is_weekend,suggestion_action,suggested_recipe_id,suggested_recipe_name,suggested_categoria_alimentar,suggested_proteina_principal,suggested_adequado_refeicao,suggested_recipe_ingredient_count,suggested_recipe_distinct_ingredient_count,suggested_recipe_profile_flag_count,suggested_recipe_has_arroz_ingredient,suggested_recipe_has_massa_ingredient,suggested_recipe_has_batata_ingredient,suggested_recipe_has_ovos_ingredient,suggested_recipe_has_peixe_marisco_ingredient,suggested_recipe_has_frango_aves_ingredient,suggested_recipe_has_vaca_ingredient,suggested_recipe_has_porco_ingredient,suggested_recipe_has_queijo_lacticinios_ingredient,suggested_recipe_has_leguminosas_ingredient,suggested_recipe_has_tomate_ingredient,suggested_recipe_has_cebola_alho_ingredient,score,average_rating,ratings_count,reasons,lifecycle_count,latest_lifecycle_event_kind,latest_execution_status,final_recipe_id,final_recipe_name,outcome_label,accepted_as_suggested,changed_recipe,deleted_after_apply
25,8d766d4f-bc84-4fe4-a38c-5f5efd8a1a14,1,2026-04-19,2026-05-02,"[""jantar""]",1,2026-04-29,jantar,2,0,suggest,25,Arroz de bacalhau,peixe,peixe,ambos,13,13,4,1,0,0,0,1,0,0,0,0,0,1,1,48.0,,0,"[""sem avaliações, tratada como opção neutra""]",1,post_apply_update,recipe_replaced,14,Frango rápido,accepted_with_recipe_change,0,1,0
26,8d766d4f-bc84-4fe4-a38c-5f5efd8a1a14,1,2026-04-19,2026-05-02,"[""jantar""]",1,2026-04-30,jantar,3,0,suggest,13,Chili,carne,,ambos,12,12,5,1,0,0,0,0,0,1,0,0,1,1,1,69.0,5.0,1,"[""receita favorita da família"", ""proteína principal ainda por definir"", ""categoria já está acima do equilíbrio desta semana""]",0,,,13,Chili,accepted_as_suggested,1,0,0
27,8d766d4f-bc84-4fe4-a38c-5f5efd8a1a14,1,2026-04-19,2026-05-02,"[""jantar""]",1,2026-05-01,jantar,4,0,suggest,16,Douradinhos,peixe,peixe,ambos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,,0,"[""sem avaliações, tratada como opção neutra"", ""categoria já está acima do equilíbrio desta semana""]",0,,,16,Douradinhos,accepted_as_suggested,1,0,0
28,8d766d4f-bc84-4fe4-a38c-5f5efd8a1a14,1,2026-04-19,2026-05-02,"[""jantar""]",1,2026-05-02,jantar,5,1,suggest,10,Empadão de carne,carne,,ambos,14,14,6,0,0,1,1,0,0,1,0,1,0,1,1,69.0,5.0,1,"[""receita favorita da família"", ""proteína principal ainda por definir"", ""categoria já está acima do equilíbrio desta semana""]",0,,,10,Empadão de carne,accepted_as_suggested,1,0,0
48,7b41dda2-d51c-4a61-80d4-1cdc4fb7b706,1,2026-05-03,2026-05-16,"[""jantar""]",1,2026-05-03,jantar,6,1,suggest,11,Peixe cozido,peixe,peixe,ambos,10,10,5,0,0,1,1,1,0,0,0,0,1,0,1,88.0,4.0,1,"[""boa aceitação familiar"", ""ajuda ao equilíbrio semanal entre carne, peixe e vegetariano""]",0,,,11,Peixe cozido,accepted_as_suggested,1,0,0
49,7b41dda2-d51c-4a61-80d4-1cdc4fb7b706,1,2026-05-03,2026-05-16,"[""jantar""]",1,2026-05-04,jantar,0,0,suggest,28,Bifanas com natas,carne,porco,ambos,6,6,2,0,0,0,0,0,0,0,0,1,1,0,0,98.0,4.0,1,"[""boa aceitação familiar"", ""ajuda ao equilíbrio semanal entre carne, peixe e vegetariano"", ""ajuda à rotação semanal entre tipos de carne""]",0,,,21,Carne de porco à portuguesa,accepted_with_recipe_change,0,1,0
50,7b41dda2-d51c-4a61-80d4-1cdc4fb7b706,1,2026-05-03,2026-05-16,"[""jantar""]",1,2026-05-05,jantar,1,0,suggest,3,Perca do nilo no forno,peixe,peixe,ambos,7,7,3,0,0,1,0,0,0,0,0,0,0,1,1,63.0,3.0,1,[],0,,,22,Lombos de pescada com molho de mostarda,accepted_with_recipe_change,0,1,0
51,7b41dda2-d51c-4a61-80d4-1cdc4fb7b706,1,2026-05-03,2026-05-16,"[""jantar""]",1,2026-05-06,jantar,2,0,suggest,5,Escalopes ao vinho Madeira,carne,,ambos,7,7,1,0,0,0,0,0,0,1,0,0,0,0,0,81.0,5.0,1,"[""receita favorita da família"", ""proteína principal ainda por definir""]",0,,,5,Escalopes ao vinho Madeira,accepted_as_suggested,1,0,0
52,7b41dda2-d51c-4a61-80d4-1cdc4fb7b706,1,2026-05-03,2026-05-16,"[""jantar""]",1,2026-05-07,jantar,3,0,suggest,17,Bacalhau com grão,peixe,peixe,ambos,11,11,4,0,0,0,1,1,0,0,0,0,1,0,1,43.0,5.0,1,"[""receita favorita da família"", ""usada nas últimas 3 semanas"", ""categoria já está acima do equilíbrio desta semana""]",0,,,17,Bacalhau com grão,accepted_as_suggested,1,0,0
53,7b41dda2-d51c-4a61-80d4-1cdc4fb7b706,1,2026-05-03,2026-05-16,"[""jantar""]",1,2026-05-08,jantar,4,0,suggest,38,Ervilhas com ovos,carne,ovos,ambos,10,10,5,1,0,0,0,0,0,0,1,0,1,1,1,62.0,4.0,1,"[""boa aceitação familiar"", ""categoria já está acima do equilíbrio desta semana""]",0,,,23,Bolonhesa,accepted_with_recipe_change,0,1,0
54,7b41dda2-d51c-4a61-80d4-1cdc4fb7b706,1,2026-05-03,2026-05-16,"[""jantar""]",1,2026-05-09,jantar,5,1,suggest,26,Bacalhau com legumes (revista robot de cozinha),peixe,peixe,ambos,12,12,4,0,0,1,0,1,0,0,0,1,0,0,1,43.0,5.0,1,"[""receita favorita da família"", ""usada nas últimas 3 semanas"", ""categoria já está acima do equilíbrio desta semana""]",0,,,26,Bacalhau com legumes (revista robot de cozinha),accepted_as_suggested,1,0,0
55,7b41dda2-d51c-4a61-80d4-1cdc4fb7b706,1,2026-05-03,2026-05-16,"[""jantar""]",1,2026-05-10,jantar,6,1,suggest,19,Jardineira,carne,vaca,ambos,7,7,3,0,0,0,0,0,0,1,1,0,0,0,1,87.0,3.0,1,"[""ajuda ao equilíbrio semanal entre carne, peixe e vegetariano"", ""ajuda à rotação semanal entre tipos de carne""]",0,,,12,Frango Toscânia,accepted_with_recipe_change,0,1,0
56,7b41dda2-d51c-4a61-80d4-1cdc4fb7b706,1,2026-05-03,2026-05-16,"[""jantar""]",1,2026-05-11,jantar,0,0,suggest,25,Arroz de bacalhau,peixe,peixe,ambos,13,13,4,1,0,0,0,1,0,0,0,0,0,1,1,62.0,,0,"[""sem avaliações, tratada como opção neutra"", ""ajuda ao equilíbrio semanal entre carne, peixe e vegetariano""]",0,,,25,Arroz de bacalhau,accepted_as_suggested,1,0,0
57,7b41dda2-d51c-4a61-80d4-1cdc4fb7b706,1,2026-05-03,2026-05-16,"[""jantar""]",1,2026-05-12,jantar,1,0,suggest,4,Mac and Cheese,carne,queijo_lacticinios,ambos,11,11,2,0,1,0,0,0,0,0,0,1,0,0,0,74.0,4.0,1,"[""boa aceitação familiar""]",0,,,4,Mac and Cheese,accepted_as_suggested,1,0,0
58,7b41dda2-d51c-4a61-80d4-1cdc4fb7b706,1,2026-05-03,2026-05-16,"[""jantar""]",1,2026-05-13,jantar,2,0,suggest,42,Peixe assado no forno,peixe,peixe,ambos,11,11,5,0,0,1,0,1,0,0,0,0,1,1,1,48.0,,0,"[""sem avaliações, tratada como opção neutra""]",0,,,17,Bacalhau com grão,accepted_with_recipe_change,0,1,0
59,7b41dda2-d51c-4a61-80d4-1cdc4fb7b706,1,2026-05-03,2026-05-16,"[""jantar""]",1,2026-05-14,jantar,3,0,suggest,15,Almondegas,carne,,ambos,9,9,2,0,0,0,0,0,0,0,0,0,0,1,1,58.0,4.0,1,"[""boa aceitação familiar"", ""proteína principal ainda por definir"", ""categoria já está acima do equilíbrio desta semana""]",0,,,15,Almondegas,accepted_as_suggested,1,0,0
60,7b41dda2-d51c-4a61-80d4-1cdc4fb7b706,1,2026-05-03,2026-05-16,"[""jantar""]",1,2026-05-15,jantar,4,0,suggest,43,Gratinado de legumes e salmão,peixe,peixe,ambos,14,14,6,0,0,1,1,1,0,0,0,1,1,0,1,62.0,4.0,1,"[""boa aceitação familiar"", ""categoria já está acima do equilíbrio desta semana""]",0,,,43,Gratinado de legumes e salmão,accepted_as_suggested,1,0,0
61,7b41dda2-d51c-4a61-80d4-1cdc4fb7b706,1,2026-05-03,2026-05-16,"[""jantar""]",1,2026-05-16,jantar,5,1,suggest,2,Peito de frango à la pizza,carne,frango,ambos,8,8,4,0,0,0,0,0,1,0,0,1,1,0,1,72.0,4.0,1,"[""boa aceitação familiar"", ""categoria já está acima do equilíbrio desta semana"", ""ajuda à rotação semanal entre tipos de carne""]",0,,,2,Peito de frango à la pizza,accepted_as_suggested,1,0,0
